top - 11:33:37 up  2:51,  0 users,  load average: 0.39, 2.27, 3.86
Tasks: 384 total,   1 running, 383 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.7 us,  1.1 sy,  0.0 ni, 98.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  64306.6 total,  57299.7 free,   2799.8 used,   4207.1 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  60788.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
      9 root      20   0       0      0      0 S   0.0   0.0   0:01.72 ksoftir+
     11 root      rt   0       0      0      0 S   0.0   0.0   0:00.08 migrati+
     12 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     17 root      rt   0       0      0      0 S   0.0   0.0   0:00.81 migrati+
     18 root      20   0       0      0      0 S   0.0   0.0   0:01.57 ksoftir+
     20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.80 migrati+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     29 root      rt   0       0      0      0 S   0.0   0.0   0:00.81 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:05.48 ksoftir+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     34 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     35 root      rt   0       0      0      0 S   0.0   0.0   0:00.81 migrati+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     40 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     41 root      rt   0       0      0      0 S   0.0   0.0   0:00.81 migrati+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     47 root      rt   0       0      0      0 S   0.0   0.0   0:00.81 migrati+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     52 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     53 root      rt   0       0      0      0 S   0.0   0.0   0:00.81 migrati+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/8
     58 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     59 root      rt   0       0      0      0 S   0.0   0.0   0:00.81 migrati+
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     63 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/9
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     65 root      rt   0       0      0      0 S   0.0   0.0   0:00.81 migrati+
     66 root      20   0       0      0      0 S   0.0   0.0   0:03.84 ksoftir+
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     69 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/10
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     71 root      rt   0       0      0      0 S   0.0   0.0   0:00.82 migrati+
     74 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     75 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     77 root      rt   0       0      0      0 S   0.0   0.0   0:00.80 migrati+
     80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     81 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     83 root      rt   0       0      0      0 S   0.0   0.0   0:00.81 migrati+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     87 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     89 root      rt   0       0      0      0 S   0.0   0.0   0:00.82 migrati+
     90 root      20   0       0      0      0 S   0.0   0.0   0:07.10 ksoftir+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/14
     94 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     95 root      rt   0       0      0      0 S   0.0   0.0   0:00.81 migrati+
     96 root      20   0       0      0      0 S   0.0   0.0   0:06.71 ksoftir+
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
    100 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    101 root      rt   0       0      0      0 S   0.0   0.0   0:00.81 migrati+
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    105 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
    107 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
    108 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    110 root      20   0       0      0      0 S   0.0   0.0   0:00.02 khungta+
    111 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
    113 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompac+
    114 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    115 root      39  19       0      0      0 S   0.0   0.0   0:00.07 khugepa+
    162 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
    163 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    164 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
    165 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
    166 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    167 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    168 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
    169 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    171 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    177 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    178 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    180 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    181 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    182 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    183 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    194 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    198 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    212 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    262 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    263 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    265 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    307 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
    326 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kdmflush
    357 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 raid5wq
    403 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
    406 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    407 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
    408 root      20   0       0      0      0 S   0.0   0.0   0:01.77 jbd2/dm+
    409 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    410 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
    439 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
    442 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
    445 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
    446 root       0 -20       0      0      0 I   0.0   0.0   0:00.24 kworker+
    450 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
    452 root      20   0       0      0      0 S   0.0   0.0   0:00.01 hwrng
    454 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
    457 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker+
    465 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
    478 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
    485 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
    487 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
    531 root      20   0   22648   5996   3976 S   0.0   0.0   0:03.83 systemd+
    696 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kaluad
    697 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpath_+
    698 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpathd
    699 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpath_+
    700 root      rt   0  280200  18000   8208 S   0.0   0.0   0:00.92 multipa+
    709 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop0
    724 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop1
    727 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/sd+
    728 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    731 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop2
    732 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop3
    733 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop4
    734 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop5
    735 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop6
    739 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop7
    740 root       0 -20       0      0      0 S   0.0   0.0   0:00.06 loop8
    744 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop9
    746 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop10
    821 systemd+  20   0   27520   8112   7024 S   0.0   0.0   0:00.34 systemd+
    823 systemd+  20   0   25616  14128   9092 S   0.0   0.0   0:09.83 systemd+
    839 root      20   0  235708   7316   6460 S   0.0   0.0   0:02.22 account+
    845 message+  20   0    7996   4980   3924 S   0.0   0.0   0:05.16 dbus-da+
    856 root      20   0 2727244  28096  18724 S   0.0   0.0   0:02.69 google_+
    860 _chrony   20   0   13016   2696   2380 S   0.0   0.0   0:00.03 chronyd
    862 root      20   0   81972   3828   3528 S   0.0   0.0   0:00.70 irqbala+
    864 _chrony   20   0    4832   2168   1972 S   0.0   0.0   0:00.00 chronyd
    867 root      20   0   29924  19056  10608 S   0.0   0.0   0:00.78 network+
    868 root      20   0  234436   8680   6540 S   0.0   0.0   0:00.58 polkitd
    869 syslog    20   0  224344   6708   3832 S   0.0   0.0   0:05.46 rsyslogd
    879 root      20   0 2812788  40648  26928 S   0.0   0.1   0:06.18 snapd
    898 root      20   0  393516  12480  10536 S   0.0   0.0   0:02.72 udisksd
    903 daemon    20   0    3796   2420   2244 S   0.0   0.0   0:00.00 atd
   1177 root      20   0  315112  10968   9376 S   0.0   0.0   0:00.17 ModemMa+
   1186 root      20   0    5600   2240   2120 S   0.0   0.0   0:00.00 agetty
   1192 root      20   0  107924  21100  13436 S   0.0   0.0   0:00.08 unatten+
   1196 root      20   0    5828   1728   1616 S   0.0   0.0   0:00.00 agetty
   1575 root      20   0   12188   7348   6416 S   0.0   0.0   0:00.03 sshd
   1598 root      20   0   17392   7744   6784 S   0.0   0.0   0:01.75 systemd+
   1602 root      20   0    6816   2716   2516 S   0.0   0.0   0:00.01 cron
   1698 root      20   0    2488    580    512 S   0.0   0.0   0:01.19 none
   2366 root      20   0 2997312 143328  97716 S   0.0   0.2   1:04.58 otelops+
   2367 root      20   0 2498352  55704  44208 S   0.0   0.1   0:04.66 google_+
   3158 root      20   0 1238352  13456   9900 S   0.0   0.0   0:01.14 contain+
   3181 65535     20   0    1012      4      0 S   0.0   0.0   0:00.02 pause
   3311 root      20   0 1238096  13220   9768 S   0.0   0.0   0:01.07 contain+
   3333 65535     20   0    1012      4      0 S   0.0   0.0   0:00.02 pause
   4171 root      20   0    4396    900    828 S   0.0   0.0   0:00.13 runsvdir
   4272 root      20   0    4244    820    752 S   0.0   0.0   0:00.00 runsv
   4273 root      20   0    4244    820    748 S   0.0   0.0   0:00.00 runsv
   4274 root      20   0    4244    888    824 S   0.0   0.0   0:00.00 runsv
   4275 root      20   0    4244    832    764 S   0.0   0.0   0:00.00 runsv
   4276 root      20   0    4244    900    832 S   0.0   0.0   0:00.00 runsv
   4277 root      20   0    4244    864    796 S   0.0   0.0   0:00.00 runsv
   4278 root      20   0    4244    820    752 S   0.0   0.0   0:00.00 runsv
   4279 root      20   0    4244    880    812 S   0.0   0.0   0:00.00 runsv
   4280 root      20   0 1683568  49188  39532 S   0.0   0.1   0:00.74 calico-+
   4283 root      20   0 1757812  50100  39908 S   0.0   0.1   0:00.75 calico-+
   4284 root      20   0 2052740  54224  42536 S   0.0   0.1   0:00.95 calico-+
   4286 root      20   0 1905020  47392  38116 S   0.0   0.1   0:00.54 calico-+
   4287 root      20   0 1905020  52096  40936 S   0.0   0.1   0:00.83 calico-+
   4563 root      20   0    1768      4      0 S   0.0   0.0   0:02.59 bird6
   4564 root      20   0    1888   1384   1236 S   0.0   0.0   0:02.70 bird
   4737 root      20   0 1238352  13772  10176 S   0.0   0.0   0:01.17 contain+
   4761 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
  10359 root      20   0 1238608  13548  10060 S   0.0   0.0   0:00.97 contain+
  10382 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
  10460 root      20   0 1238352  14196  10208 S   0.0   0.0   0:07.88 contain+
  11105 root      20   0 1238096  13304   9896 S   0.0   0.0   0:01.02 contain+
  11136 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
  11230 root      20   0 1238352  14388  10384 S   0.0   0.0   0:08.28 contain+
 215767 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
 216531 root      20   0 1238352  13892  10228 S   0.0   0.0   0:00.85 contain+
 216578 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
 217871 root      20   0 1238352  13812  10220 S   0.0   0.0   0:00.83 contain+
 217895 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
 219261 root      20   0 1238352  13736  10288 S   0.0   0.0   0:00.84 contain+
 219287 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
 219641 root      20   0 1238608  14084  10224 S   0.0   0.0   0:05.94 contain+
 220358 root      20   0 1238352  13268   9908 S   0.0   0.0   0:00.73 contain+
 220360 root      20   0 1238352  13752  10160 S   0.0   0.0   0:00.82 contain+
 220407 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
 220408 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
 220548 root      20   0 1238352  13332   9916 S   0.0   0.0   0:00.77 contain+
 220590 65535     20   0    1012      4      0 S   0.0   0.0   0:00.04 pause
 221167 root      20   0 1238352  13672  10032 S   0.0   0.0   0:05.92 contain+
 221194 root      20   0 1238352  13372  10036 S   0.0   0.0   0:05.95 contain+
 226320 root      20   0 1238352  13880  10280 S   0.0   0.0   0:00.78 contain+
 226344 65535     20   0    1012      4      0 S   0.0   0.0   0:00.03 pause
